CHRONIC DISEASE LIST CONDITION,"CDA FOR CORE, PRIORITY AND SAVER PLANS",CDA FOR EXECUTIVE AND COMPREHENSIVE PLANS,MEDICINE CLASS,ACTIVE INGREDIENT,MEDICINE NAME AND STRENGTH
Cardiomyopathy,R 75.00,R 110.00,Angiotensin II antagonists: Plain,Losartan,Annin                                                   50mg; 100mg
Cardiomyopathy,R 75.00,R 110.00,Angiotensin II antagonists: Plain,Losartan,Austell Losartan                                  50mg; 100mg
Cardiomyopathy,R 75.00,R 110.00,Angiotensin II antagonists: Plain,Losartan,"Losartan Accord                                  50mg; 100mg
(Not available on KeyCare plans)"
Cardiomyopathy,R 75.00,R 110.00,Angiotensin II antagonists: Plain,Losartan,"Losartan Macleods                             50mg; 100mg
(Not available on KeyCare plans)"
Cardiomyopathy,R 75.00,R 110.00,Angiotensin II antagonists: Plain,Losartan,"Normoten                                            50mg; 100mg
(Not available on KeyCare plans)"
Cardiomyopathy,R 75.00,R 110.00,Angiotensin II antagonists: Plain,Losartan,"Zaario                                                  50mg; 100mg
(Not available on KeyCare plans)"
Cardiomyopathy,R 75.00,R 110.00,Angiotensin II antagonists: Plain,Losartan,"Zartan                                                 50mg; 100mg
(Not available on KeyCare plans)"
Cardiomyopathy,R 75.00,R 110.00,Angiotensin II antagonists: Plain,Telmisartan,"Telpres                                                  40mg; 80mg
(Not available on KeyCare plans)"
Cardiomyopathy,R 75.00,R 110.00,Angiotensin II antagonists: Plain,Telmisartan,"Tesminol                                                40mg; 80mg
(Not available on KeyCare plans)"
Cardiomyopathy,R 75.00,R 110.00,Angiotensin II antagonists: Plain,Telmisartan,"Ticarda                                                  40mg; 80mg
(Not available on KeyCare plans)"
Cardiomyopathy,R 75.00,R 110.00,Angiotensin II antagonists: Plain,Valsartan,"Niosar                                                 80mg; 160mg
(Not available on KeyCare plans)"
Cardiomyopathy,R 85.00,R 85.00,Anti-thrombotic agents: Vitamin K antagonists,Warfarin,Cipla-Warfarin                                                    5mg
Cardiomyopathy,R 85.00,R 85.00,Anti-thrombotic agents: Vitamin K antagonists,Warfarin,Segavin                                                               5mg
Cardiomyopathy,R 85.00,R 85.00,Anti-thrombotic agents: Vitamin K antagonists,Warfarin,Warfarin 5mg Austell                                         5mg
Cardiomyopathy,R 85.00,R 85.00,Anti-thrombotic agents: Vitamin K antagonists,Warfarin,Warfarin 5 Unicorn                                             5mg
Cardiomyopathy,R 120.00,R 120.00,Arteriolar smooth muscle agents: Hydrazinophthalazine derivatives,Hydralazine,Hydralazine HCl 25 Kiara                                 25mg
Cardiomyopathy,R 120.00,R 120.00,Arteriolar smooth muscle agents: Hydrazinophthalazine derivatives,,Hyperphen                                            10mg; 50mg
Cardiomyopathy,R 30.00,R 35.00,Aspirin: Cardiovascular,Acetylsalicylic acid,Aspirin 100 Clicks                                           100mg
Cardiomyopathy,R 30.00,R 35.00,Aspirin: Cardiovascular,,Coprin                                                             100mg
Cardiomyopathy,R 30.00,R 35.00,Aspirin: Cardiovascular,,"Myoprin                                                          100mg
(Only Executive and Comprehensive plans)"
Cardiomyopathy,R 30.00,R 35.00,Aspirin: Cardiovascular,,Trinprin                                                           100mg
Cardiomyopathy,R 30.00,R 70.00,Beta blocking agents: Selective,Bisoprolol,Adco-Bisocor                                           5mg; 10mg
Cardiomyopathy,R 30.00,R 70.00,Beta blocking agents: Selective,Bisoprolol,Biloblok                                                               5mg
Cardiomyopathy,R 30.00,R 70.00,Beta blocking agents: Selective,Bisoprolol,Bilocor                                                     5mg; 10mg
Cardiomyopathy,R 30.00,R 70.00,Beta blocking agents: Selective,Bisoprolol,Bislo                                                         5mg; 10mg
Cardiomyopathy,R 30.00,R 70.00,Beta blocking agents: Selective,Bisoprolol,Bisoprolol Unicorn                                  5mg; 10mg
Cardiomyopathy,R 30.00,R 70.00,Beta blocking agents: Selective,Bisoprolol,Emcor                                                      5mg; 10mg
Cardiomyopathy,R 30.00,R 70.00,Beta blocking agents: Selective,Bisoprolol,Presicard                                                  5mg; 10mg
Cardiomyopathy,R 35.00,R 35.00,Cardiac glycosides: Digoxin,Digoxin,Lanoxin                                       0.0625mg; 0.25mg
Cardiomyopathy,R 35.00,R 35.00,Cardiac glycosides: Digoxin,Digoxin,Lanoxin paediatric/geriatric syrup       0.05mg/1ml
Cardiomyopathy,R 20.00,R 40.00,High-ceiling diuretics,Furosemide,Defulide                                                            40mg
Cardiomyopathy,R 20.00,R 40.00,High-ceiling diuretics,Furosemide,Furobe                                                               40mg
Cardiomyopathy,R 20.00,R 40.00,High-ceiling diuretics,Furosemide,Furosemide  40 Unimed                                  40mg
Cardiomyopathy,R 15.00,R 15.00,"Low-ceiling diuretics: Thiazides, plain",Hydrochlorothiazide,Gulf Hydrochlorothiazide                                 25mg
Cardiomyopathy,R 15.00,R 15.00,"Low-ceiling diuretics: Thiazides, plain",Hydrochlorothiazide,Ridaq                                                              12.5mg
Cardiomyopathy,R 15.00,R 15.00,"Low-ceiling diuretics: Thiazides, plain",Hydrochlorothiazide,Zidaflo                                                 12.5mg; 25mg
Cardiomyopathy,R 25.00,R 25.00,Low-ceiling diuretics: excluding Thiazides,Indapamide,Adco-Dapamax                                                2.5mg
Cardiomyopathy,R 25.00,R 25.00,Low-ceiling diuretics: excluding Thiazides,Indapamide,Catexan                                                            2.5mg
Cardiomyopathy,R 25.00,R 25.00,Low-ceiling diuretics: excluding Thiazides,Indapamide,Cipla-Indapamide                                            2.5mg
Cardiomyopathy,R 25.00,R 25.00,Low-ceiling diuretics: excluding Thiazides,Indapamide,Mylan Indapamide                                          2.5mg
Cardiomyopathy,R 120.00,R 120.00,Potassium sparing agents,Spironolactone,Aldactone                                                         25mg
Cardiomyopathy,R 120.00,R 120.00,Potassium sparing agents,Spironolactone,Spironolactone 25mg Accord                          25mg
Cardiomyopathy,R 120.00,R 120.00,Potassium sparing agents,Spironolactone,Spironolactone 25 Kiara                                   25mg
Cardiomyopathy,R 130.00,R 130.00,Potassium supplements,Potassium chloride,Ultipot                                                             600mg
Cardiomyopathy,R 250.00,R 250.00,"Vasodilators in cardiac disease:
Organic nitrates",Isosorbide dinitrate,Isosorbide dinitrate Kiara                      5mg; 10mg
Cardiomyopathy,R 250.00,R 250.00,"Vasodilators in cardiac disease:
Organic nitrates",Isosorbide mononitrate,Ismo                                                                  20mg
Cardiomyopathy,R 250.00,R 250.00,"Vasodilators in cardiac disease:
Organic nitrates",Isosorbide mononitrate,Monicor SR                                                       60mg
Chronic renal disease,R 80.00,R 90.00,ACE inhibitors and diuretics,Enalapril and diuretics,Acenten                                                    20/12.5mg
Chronic renal disease,R 80.00,R 90.00,ACE inhibitors and diuretics,,Enpresil co
Chronic renal disease,R 80.00,R 90.00,ACE inhibitors and diuretics,Perindopril and diuretics,"Ciplasyl Plus                                               4/1.25mg
(Not available on KeyCare plans)"
Chronic renal disease,R 80.00,R 90.00,ACE inhibitors and diuretics,Perindopril and diuretics,"Pearinda Plus                             4/1.25mg; 8/2.5mg
(Not available on KeyCare plans)"
Chronic renal disease,R 80.00,R 90.00,ACE inhibitors and diuretics,Perindopril and diuretics,"Perdotor Plus                                             4/1.25mg
(Not available on KeyCare plans)"
Chronic renal disease,R 80.00,R 90.00,ACE inhibitors and diuretics,Perindopril and diuretics,"Perindopril co Unicorn                              4/1.25mg
(Not available on KeyCare plans)"
Chronic renal disease,R 80.00,R 90.00,ACE inhibitors and diuretics,Perindopril and diuretics,"Prexum 10 Plus                                          10/2.5mg
(Only Executive and Comprehensive plans)"
Chronic renal disease,R 80.00,R 90.00,ACE inhibitors and diuretics,Perindopril and diuretics,Trexeva Plus                                               5/1.25mg
Chronic renal disease,R 170.00,R 180.00,"ACE inhibitors, other combinations",Perindopril and Bisoprolol,"Cosyrel *           5/5mg; 10/5mg; 5/10mg; 10/10mg
(Not available on KeyCare plans)"
Chronic renal disease,R 65.00,R 75.00,ACE inhibitors: Plain,Captopril,Mylan Captopril                                    25mg; 50mg
Chronic renal disease,R 65.00,R 75.00,ACE inhibitors: Plain,Enalapril,Enalapril Arya                               5mg; 10mg; 20mg
Chronic renal disease,R 65.00,R 75.00,ACE inhibitors: Plain,Enalapril,Hypace                                                               5mg
Chronic renal disease,R 65.00,R 75.00,ACE inhibitors: Plain,Enalapril,Natrapress                                            10mg; 20mg
Chronic renal disease,R 65.00,R 75.00,ACE inhibitors: Plain,Enalapril,Tenezil                                                   10mg; 20mg
Chronic renal disease,R 65.00,R 75.00,ACE inhibitors: Plain,Lisinopril,Adco-Zetomax                             5mg; 10mg; 20mg
Chronic renal disease,R 65.00,R 75.00,ACE inhibitors: Plain,Perindopril,"Pearinda                                                    4mg; 8mg
(Not available on KeyCare plans)"
Chronic renal disease,R 65.00,R 75.00,ACE inhibitors: Plain,Perindopril,"Perdotor                                                    4mg; 8mg
(Not available on KeyCare plans)"
Chronic renal disease,R 65.00,R 75.00,ACE inhibitors: Plain,Perindopril,"Perindopril Unicorn                                   4mg; 8mg
(Not available on KeyCare plans)"
Chronic renal disease,R 65.00,R 75.00,ACE inhibitors: Plain,Perindopril,"Ran-Perindopril                                                  4mg
(Not available on KeyCare plans)"
Chronic renal disease,R 65.00,R 75.00,ACE inhibitors: Plain,Perindopril,Reprex                                                       4mg; 8mg
Chronic renal disease,R 90.00,R 100.00,Angiotensin II antagonists: Combinations,Losartan and diuretics,Annin co                                 50/12.5mg; 100/25mg
Chronic renal disease,R 90.00,R 100.00,Angiotensin II antagonists: Combinations,Losartan and diuretics,Austell Losartan co                                  50/12.5mg
Chronic renal disease,R 90.00,R 100.00,Angiotensin II antagonists: Combinations,Losartan and diuretics,Co-Normoten                        50/12.5mg; 100/25mg
Chronic renal disease,R 90.00,R 100.00,Angiotensin II antagonists: Combinations,Losartan and diuretics,Hylokat                                  50/12.5mg; 100/25mg
Chronic renal disease,R 90.00,R 100.00,Angiotensin II antagonists: Combinations,Losartan and diuretics,Losaar Plus                            50/12.5mg; 100/25mg
Chronic renal disease,R 90.00,R 100.00,Angiotensin II antagonists: Combinations,Losartan and diuretics,Zaario Plus                            50/12.5mg; 100/25mg
Chronic renal disease,R 90.00,R 100.00,Angiotensin II antagonists: Combinations,Losartan and diuretics,Zartan co                               50/12.5mg; 100/25mg
Chronic renal disease,R 90.00,R 100.00,Angiotensin II antagonists: Combinations,Telmisartan and diuretics,"Co-Telza                                40/12.5mg; 80/12.5mg
(Not available on KeyCare plans)"
Chronic renal disease,R 90.00,R 100.00,Angiotensin II antagonists: Combinations,Telmisartan and diuretics,"Telpres Plus                          40/12.5mg; 80/12.5mg
(Not available on KeyCare plans)"
Chronic renal disease,R 90.00,R 100.00,Angiotensin II antagonists: Combinations,Telmisartan and diuretics,"Tesar co                                40/12.5mg; 80/12.5mg
(Not available on KeyCare plans)"
Chronic renal disease,R 90.00,R 100.00,Angiotensin II antagonists: Combinations,Telmisartan and diuretics,"Ticarda Plus                          40/12.5mg; 80/12.5mg
(Not available on KeyCare plans)"
Chronic renal disease,R 90.00,R 100.00,Angiotensin II antagonists: Combinations,Telmisartan and diuretics,"Tremistan Plus                     40/12.5mg; 80/12.5mg
(Not available on KeyCare plans)"
Chronic renal disease,R 90.00,R 100.00,Angiotensin II antagonists: Combinations,Valsartan and diuretics,"Niosar co         80/12.5mg; 160/12.5mg; 160/25mg
(Only Executive and Comprehensive plans)"
Chronic renal disease,R 90.00,R 100.00,Angiotensin II antagonists: Combinations,Valsartan and diuretics,"Regoval co       80/12.5mg; 160/12.5mg; 160/25mg
(Only Executive and Comprehensive plans)"
Chronic renal disease,R 90.00,R 100.00,Angiotensin II antagonists: Combinations,Valsartan and diuretics,"Valazyd co       80/12.5mg; 160/12.5mg; 160/25mg
(Only Executive and Comprehensive plans)"
Chronic renal disease,R 90.00,R 100.00,Angiotensin II antagonists: Combinations,Valsartan and diuretics,"Valheft co                            160/12.5mg; 160/25mg
(Only Executive and Comprehensive plans)"
Chronic renal disease,R 75.00,R 110.00,Angiotensin II antagonists: Plain,Irbesartan,"Jubitan                                               150mg; 300mg
(Not available on KeyCare plans)"
Chronic renal disease,R 75.00,R 110.00,Angiotensin II antagonists: Plain,Irbesartan,"Trobet                                                150mg; 300mg
(Not available on KeyCare plans)"
Chronic renal disease,R 75.00,R 110.00,Angiotensin II antagonists: Plain,Losartan,Annin                                                   50mg; 100mg
Chronic renal disease,R 75.00,R 110.00,Angiotensin II antagonists: Plain,Losartan,Austell Losartan                                  50mg; 100mg
Chronic renal disease,R 75.00,R 110.00,Angiotensin II antagonists: Plain,Losartan,"Losartan Accord                                  50mg; 100mg
(Not available on KeyCare plans)"
Chronic renal disease,R 75.00,R 110.00,Angiotensin II antagonists: Plain,Losartan,"Losartan Macleods                             50mg; 100mg
(Not available on KeyCare plans)"
Chronic renal disease,R 75.00,R 110.00,Angiotensin II antagonists: Plain,Losartan,"Normoten                                            50mg; 100mg
(Not available on KeyCare plans)"
Chronic renal disease,R 75.00,R 110.00,Angiotensin II antagonists: Plain,Losartan,"Zaario                                                  50mg; 100mg
(Not available on KeyCare plans)"
Chronic renal disease,R 75.00,R 110.00,Angiotensin II antagonists: Plain,Losartan,"Zartan                                                 50mg; 100mg
(Not available on KeyCare plans)"
Chronic renal disease,R 75.00,R 110.00,Angiotensin II antagonists: Plain,Telmisartan,"Telpres                                                  40mg; 80mg
(Not available on KeyCare plans)"
Chronic renal disease,R 75.00,R 110.00,Angiotensin II antagonists: Plain,Telmisartan,"Tesminol                                                40mg; 80mg
(Not available on KeyCare plans)"
Chronic renal disease,R 75.00,R 110.00,Angiotensin II antagonists: Plain,Telmisartan,"Ticarda                                                  40mg; 80mg
(Not available on KeyCare plans)"
Chronic renal disease,R 75.00,R 110.00,Angiotensin II antagonists: Plain,Valsartan,"Niosar                                                 80mg; 160mg
(Not available on KeyCare plans)"
Chronic renal disease,R 60.00,R 70.00,Beta blocking agents: Selective,Bisoprolol,Adco-Bisocor                                           5mg; 10mg
Chronic renal disease,R 60.00,R 70.00,Beta blocking agents: Selective,Bisoprolol,Biloblok                                                               5mg
Chronic renal disease,R 60.00,R 70.00,Beta blocking agents: Selective,Bisoprolol,Bilocor                                                     5mg; 10mg
Chronic renal disease,R 60.00,R 70.00,Beta blocking agents: Selective,Bisoprolol,Bislo                                                         5mg; 10mg
Chronic renal disease,R 60.00,R 70.00,Beta blocking agents:,Bisoprolol,Bisoprolol Unicorn                                  5mg; 10mg
Chronic renal disease,R 60.00,R 70.00,Selective,Bisoprolol,
Chronic renal disease,R 60.00,R 70.00,Selective,Bisoprolol,Emcor                                                      5mg; 10mg
Chronic renal disease,R 60.00,R 70.00,Selective,Bisoprolol,Presicard                                                  5mg; 10mg
Chronic renal disease,R 330.00,R 330.00,Calcium supplements,Calcium carbonate,B-cal
Chronic renal disease,R 10.00,R 10.00,Folic acid and derivatives,Folic acid,Be-Tabs Folic acid                                               5mg
Chronic renal disease,R 10.00,R 10.00,Folic acid and derivatives,Folic acid,Gulf Folic acid                                                     5mg
Chronic renal disease,R 50.00,R 50.00,"Iron bivalent, oral preparations",Ferrous Sulfate,Ferrous Sulphate                                              75mg
Chronic renal disease,R 535.00,R 535.00,"Iron, parenteral preparations","Iron, parenteral preparations",Cosmofer ampoule 2ml                           50mg/1ml
Chronic renal disease,R 535.00,R 535.00,"Iron, parenteral preparations","Iron, parenteral preparations",Equifer ampoule 5ml                              100mg/5ml
Chronic renal disease,R 535.00,R 535.00,"Iron, parenteral preparations","Iron, parenteral preparations",Innofer ampoule 5ml                             100mg/5ml
Chronic renal disease,R 535.00,R 535.00,"Iron, parenteral preparations","Iron, parenteral preparations",Rautevene ampoule 5ml                       100mg/5ml
Chronic renal disease,R 535.00,R 535.00,"Iron, parenteral preparations","Iron, parenteral preparations",(Not available on KeyCare plans)
Chronic renal disease,R3 340,R3 340,Other anti-anaemic preparations,Darbepoetin Alfa,Aranesp pre-filled syringe 0.4ml        10mcg/0.4ml
Chronic renal disease,R3 340,R3 340,Other anti-anaemic preparations,Darbepoetin Alfa,Aranesp pre-filled syringe 0.5ml        20mcg/0.5ml
Chronic renal disease,R3 340,R3 340,Other anti-anaemic preparations,Darbepoetin Alfa,Aranesp pre-filled syringe 0.3ml        30mcg/0.3ml
Chronic renal disease,R3 340,R3 340,Other anti-anaemic preparations,Darbepoetin Alfa,Aranesp pre-filled syringe 0.4ml        40mcg/0.4ml
Chronic renal disease,R3 340,R3 340,Other anti-anaemic preparations,Darbepoetin Alfa,Aranesp pre-filled syringe 0.5ml        50mcg/0.5ml
Chronic renal disease,R3 340,R3 340,Other anti-anaemic preparations,Darbepoetin Alfa,Aranesp pre-filled syringe 0.3ml        60mcg/0.3ml
Chronic renal disease,R3 340,R3 340,Other anti-anaemic preparations,Erythropoietin,Eprex pre-fill                                         2000U/0.5ml
Chronic renal disease,R3 340,R3 340,Other anti-anaemic preparations,Erythropoietin,Eprex pre-fill                                         4000U/0.4ml
Chronic renal disease,R3 340,R3 340,Other anti-anaemic preparations,Methoxy,Mircera pre-filled syringe 0.3ml         50mcg/0.3ml
Chronic renal disease,R3 340,R3 340,Other anti-anaemic preparations,polyethylene glycol-,(Not available on KeyCare plans)
Chronic renal disease,R3 340,R3 340,Other anti-anaemic preparations,epoetin beta,
Chronic renal disease,R3 340,R3 340,Other anti-anaemic preparations,epoetin beta,Mircera pre-filled syringe 0.3ml         75mcg/0.3ml
Chronic renal disease,R3 340,R3 340,Other anti-anaemic preparations,epoetin beta,(Not available on KeyCare plans)
Chronic renal disease,R3 340,R3 340,Other anti-anaemic preparations,epoetin beta,Mircera pre-filled syringe 0.3ml       100mcg/0.3ml
Chronic renal disease,R3 340,R3 340,Other anti-anaemic preparations,epoetin beta,(Not available on KeyCare plans)
Chronic renal disease,R3 340,R3 340,Other anti-anaemic preparations,epoetin beta,Mircera pre-filled syringe 0.3ml       120mcg/0.3ml
Chronic renal disease,R3 340,R3 340,Other anti-anaemic preparations,epoetin beta,(Not available on KeyCare plans)
Chronic renal disease,R3 340,R3 340,Other anti-anaemic preparations,epoetin beta,Mircera pre-filled syringe 0.3ml       150mcg/0.3ml
Chronic renal disease,R3 340,R3 340,Other anti-anaemic preparations,epoetin beta,(Not available on KeyCare plans)
Chronic renal disease,R3 340,R3 340,Other anti-anaemic preparations,epoetin beta,Mircera pre-filled syringe 0.3ml       200mcg/0.3ml
Chronic renal disease,,R3 340,Other anti-anaemic preparations,epoetin beta,(Not available on KeyCare plans)
Chronic renal disease,R3 340,R3 340,Other anti-anaemic preparations,Methoxy polyethylene glycol-epoetin beta,"Mircera pre-filled syringe 0.3ml       250mcg/0.3ml
(Not available on KeyCare plans)"
Chronic renal disease,R3 340,R3 340,Other anti-anaemic preparations,Roxadustat,Evrenzo           20mg; 50mg; 70mg; 100mg; 150mg
Chronic renal disease,R 365.00,R 365.00,Vitamin D and analogues,Alfacalcidol,Zodoray                                             0.25mcg; 1mcg
Diabetes mellitus Type 1,"***Please note that an overall monthly limit applies to Insulins across the different Insulin classes*** The overall monthly limit for KeyCare, Smart, Smart Saver, Priority, Core and Saver plans is R700.
The overall monthly limit for Executive and Comprehensive plans is R720.",,,,
Diabetes mellitus Type 1,R 395.00,R 400.00,Anti-diabetic agents: Fast-acting Insulins,Insulin Aspart,"Fiasp - penfill 3ml
(Not available on KeyCare plans)"
Diabetes mellitus Type 1,R 395.00,R 400.00,Anti-diabetic agents: Fast-acting Insulins,Insulin Aspart,"Novorapid - penfill 3ml
(Not available on KeyCare plans)"
Diabetes mellitus Type 1,R 395.00,R 400.00,Anti-diabetic agents: Fast-acting Insulins,Insulin Glulisine,Apidra - cartridge 3ml
Diabetes mellitus Type 1,R 700.00,R 720.00,Anti-diabetic agents: Intermediate-acting or long-acting combined with fast-acting Insulins (Biphasic),Insulin Degludec and Insulin Aspart,"Ryzodeg - penfill 3ml
(Only Executive and Comprehensive plans)"
Diabetes mellitus Type 1,R 700.00,R 720.00,Anti-diabetic agents: Intermediate-acting or long-acting combined with fast-acting Insulins (Biphasic),Insulin Human,Humulin 30/70 cartridge 3ml
Diabetes mellitus Type 1,R 700.00,R 720.00,Anti-diabetic agents: Intermediate-acting or long-acting combined with fast-acting Insulins (Biphasic),Insulin Lispro,Humalog mix 25 - cartridge 3ml
Diabetes mellitus Type 1,R 700.00,R 720.00,Anti-diabetic agents: Intermediate-acting or long-acting combined with fast-acting Insulins (Biphasic),,Humalog mix 50 - cartridge 3ml
Diabetes mellitus Type 1,R 440.00,R 440.00,Anti-diabetic agents: Long-acting Insulins,Insulin Detemir,Levemir - pre-filled cartridge 3ml
